Week,Date,Apple,Arhar,Atta,Bajra,Banana,Besan,Biscuit,BlackPepper,Bread,Brinjal,Butter,Chicken,Coconut,CoconutOil,Coffee,Coriander,CumminSeed,Eggs,Fish,Ghee,GingellyOil,Gram,GroundnutOil,Gur,Jowar,Maida,Maize,Masur,Meat,Milk,Moong,MustardOil,Onion,Potato,Ragi,RedChillies,Rice,Salt,Sugar,Suji,Tea,Tomato,Turmeric,Urad,Vanaspati,Wheat
71,2015-10-26,120.91,87.23,27.59,22.92,43.24,66.1,7.41,731.9,23.78,23.47,41.88,172.45,81.12,203.23,922.91,23.21,238.37,57.6,242.43,445.41,193.06,55.39,132.78,49.52,28.54,30.04,26.06,76.7,444.09,43.29,97.09,118.21,28.93,21.53,31.15,23.15,45.36,13.25,38.1,35.1,171.79,28.95,21.56,88.65,88.73,25.24
72,2015-11-02,122.57,86.7,27.03,22.89,42.02,66.15,7.29,759.75,24.08,25.04,42.72,168.1,80.55,208.75,900.94,22.68,229.55,57.57,242.21,447.54,186.95,55.59,130.64,47.74,29.11,30.36,26.41,77.5,436.16,42.31,98.68,113.37,26.96,22.87,30.37,23.16,45.39,13.43,37.76,34.11,171.11,27.7,21.88,89.89,86.66,25.51
73,2015-11-09,119.62,84.18,27.41,22.65,42.16,65.72,7.24,728.26,23.2,25.82,42.01,166.21,79.47,201.36,887.11,23.35,226.47,59.08,245.92,441.83,185.27,54.61,130.21,48.69,28.16,29.82,26.54,76.14,440.63,41.11,97.39,117.84,27.07,21.84,30.5,22.24,44.98,13.18,38.09,34.12,168.84,28.71,21.82,90.21,88.94,25.49
74,2015-11-16,121.91,85.35,27.45,22.01,42.1,65.17,7.27,717.6,23.62,25.71,41.8,162.61,79.57,205.36,871.14,22.98,237.07,56.66,245.81,423.43,191.39,56.09,131.17,48.2,28.1,29.34,25.75,77.18,449.57,42.44,99.33,114.53,28.87,21.61,30.49,22.66,44.91,13.6,37.86,35.33,171.21,29.2,21.2,90.01,88.98,24.59
75,2015-11-23,114.55,84.72,27.21,22.81,41.45,65.7,7.15,727.6,23.73,26.05,40.79,165.19,78.34,203.75,875.88,22.89,222.43,56.42,240.45,434.1,189.57,53.81,131.47,47.77,28.43,29.87,26.5,73.54,442.48,42.79,96.81,114.67,29.53,24.87,30.46,23.02,43.85,13.15,37.65,33.76,175.39,29.97,21.69,88.9,86.05,25.61
76,2015-11-30,119.85,85.28,26.27,21.85,42.14,65.74,7.42,719.23,23.37,25.8,41.55,164.35,80.18,205.64,874.07,22.73,225.89,56.55,243.86,442.88,190.27,55.39,130.73,48.42,27.91,28.81,25.82,73.34,439.51,42.45,98.59,112.6,30.47,22.34,30.07,22.73,44.92,13.27,37.73,34.33,168.14,33.85,21.17,88.39,86.59,24.35
77,2015-12-07,118.19,82.3,26.48,22.22,41.49,64.15,7.02,714.85,23.28,26.9,40.73,166.75,79.4,199.92,904.98,22.47,225.41,57.09,240.71,429.2,188.37,54.56,131.11,48.2,28.09,28.82,26.33,72.63,449.39,41.37,97.32,112.73,32.42,24.15,30.63,22.2,44.93,13.18,37.1,34.12,167.66,32.29,21.58,88.93,86.53,24.41
78,2015-12-14,117.1,83.91,26.56,21.8,41.64,66.17,7.17,713.14,23.29,29.76,40.68,164.87,78.75,199.17,886.16,22.61,228.24,54.79,239.0,431.17,190.97,53.74,127.12,46.69,27.32,29.29,25.51,74.06,429.66,41.65,96.49,112.78,31.89,25.22,29.86,21.74,44.65,12.97,36.9,33.9,169.37,33.18,20.79,88.4,87.26,24.62
79,2015-12-21,117.3,84.05,26.51,21.93,40.66,64.6,7.33,725.17,23.52,30.38,40.41,160.27,79.48,203.51,886.34,22.6,223.96,54.19,240.98,424.63,186.3,54.59,128.11,47.01,28.7,29.25,25.2,73.45,429.98,41.14,97.3,111.58,33.3,28.8,30.5,22.31,44.82,12.82,37.75,33.72,166.03,34.56,20.98,87.46,87.83,25.29
80,2015-12-28,113.41,80.52,26.67,21.96,40.75,64.49,7.1,686.78,23.28,30.65,40.11,162.8,79.7,201.15,850.9,21.77,220.12,55.07,237.53,440.21,183.72,53.09,126.48,47.12,27.19,28.39,25.3,72.77,445.04,40.82,95.97,112.52,33.11,29.13,31.18,22.32,44.11,12.94,37.13,33.63,168.32,37.88,20.78,85.57,83.56,24.41
81,2016-01-04,115.92,80.91,26.4,21.88,41.28,64.9,7.05,700.65,22.54,31.18,41.82,163.32,81.34,195.34,860.53,22.08,217.64,54.01,243.27,438.11,184.35,54.11,127.07,46.52,27.49,28.64,25.32,73.5,434.48,41.71,94.42,111.88,36.65,29.67,29.6,22.0,44.11,12.93,37.11,33.45,164.37,35.86,21.17,86.61,84.91,24.42
82,2016-01-11,116.48,79.67,25.72,21.83,40.45,64.28,7.01,681.97,22.51,30.47,41.21,164.73,77.22,197.54,883.47,22.08,218.73,54.78,231.24,421.18,186.08,52.85,129.17,46.92,27.51,28.44,25.1,73.66,431.88,40.32,99.53,115.05,35.27,28.79,29.95,22.25,43.74,12.69,37.18,33.18,169.89,37.75,20.6,85.52,84.7,24.84
83,2016-01-18,117.98,81.47,26.28,22.13,41.57,64.75,7.01,694.85,22.93,31.78,41.42,162.62,79.91,199.57,873.41,22.17,215.66,55.33,233.63,426.13,180.16,54.12,127.27,46.52,28.19,28.39,25.06,70.41,425.56,40.37,94.55,110.1,35.82,31.52,28.93,22.3,43.93,12.78,36.65,33.82,165.77,40.88,20.67,85.85,83.08,24.16
84,2016-01-25,114.32,82.4,26.29,21.7,40.13,63.99,7.14,675.8,23.22,34.62,39.45,161.78,79.54,200.4,865.68,22.4,218.35,54.04,234.36,419.96,179.96,52.95,131.35,47.44,26.83,28.9,25.17,71.16,434.26,40.13,91.79,111.8,36.08,30.02,29.79,22.3,42.35,12.94,36.73,32.36,162.96,39.77,20.76,86.48,83.95,23.78
85,2016-02-01,113.55,83.12,26.2,21.42,40.38,63.05,6.76,678.53,22.13,31.84,40.1,159.64,77.5,196.01,872.44,21.69,215.62,53.45,235.74,426.8,180.4,53.19,126.91,44.92,28.07,28.72,24.89,72.46,434.24,39.81,93.45,111.81,35.87,30.5,30.12,21.31,42.67,13.06,35.23,33.39,162.6,39.66,20.71,86.69,84.85,23.98
86,2016-02-08,113.82,81.33,26.33,21.75,40.71,63.81,7.13,677.45,22.82,32.87,39.21,160.02,78.44,189.78,884.02,21.72,211.92,54.53,238.08,425.34,175.28,53.66,126.5,45.78,27.53,28.35,24.86,70.88,424.46,40.68,92.61,109.6,35.6,29.57,30.11,21.59,44.15,12.81,36.11,33.22,162.41,41.5,20.76,88.27,83.84,24.56
87,2016-02-15,115.98,83.01,26.19,21.78,39.19,62.39,6.82,689.22,22.78,33.09,39.49,161.74,77.65,198.84,859.75,21.67,220.51,55.06,233.62,426.54,180.87,52.79,126.45,45.12,27.35,28.07,24.16,70.37,429.69,41.21,95.37,112.2,35.35,28.89,29.8,21.88,41.49,12.98,35.81,33.11,166.64,38.64,20.51,85.33,82.19,24.06
88,2016-02-22,114.88,79.47,26.01,20.99,38.91,63.46,6.93,686.91,23.38,30.42,39.3,155.35,78.3,194.1,862.49,21.54,214.32,52.92,228.94,423.21,175.33,53.29,125.09,46.09,26.76,27.69,24.92,72.21,428.55,40.38,94.52,110.45,34.0,28.03,30.12,22.13,42.91,12.5,36.77,33.27,160.1,36.56,20.28,86.85,87.43,24.68
89,2016-02-29,113.38,79.07,25.78,21.55,39.01,63.31,6.91,662.07,22.8,30.81,40.54,157.53,79.73,192.0,863.6,21.67,211.49,54.9,236.27,438.77,180.31,52.18,126.1,44.47,27.36,28.83,24.7,69.63,432.11,39.59,94.53,107.2,33.7,27.21,30.81,22.1,43.7,12.74,36.31,32.66,161.42,35.86,20.28,86.25,84.25,24.25
90,2016-03-07,115.1,80.98,25.16,21.58,40.68,63.17,7.01,675.34,23.06,30.48,39.57,156.45,78.79,189.96,890.88,22.03,214.98,54.88,236.09,414.8,182.43,53.81,128.23,45.81,26.85,28.48,25.33,70.66,424.65,40.96,93.41,112.12,35.11,26.93,30.47,22.1,42.89,12.86,35.42,31.8,161.65,33.53,20.39,87.48,84.07,23.76
91,2016-03-14,114.47,81.55,25.97,21.27,39.57,63.29,6.79,666.56,23.0,28.63,40.44,159.21,78.76,199.97,835.84,21.43,215.74,55.01,227.55,410.93,178.97,54.7,126.59,45.12,27.65,27.94,24.34,71.34,438.83,41.48,93.55,109.48,33.11,25.7,29.56,21.85,42.7,12.45,35.97,32.67,163.02,34.85,20.46,86.66,82.67,24.01
92,2016-03-21,116.04,81.17,25.91,21.82,41.49,61.81,7.01,660.55,22.29,30.07,40.21,161.35,77.87,198.48,871.28,21.93,209.84,55.27,234.2,419.4,184.82,55.55,125.21,45.07,26.79,28.56,24.02,70.41,437.74,40.16,93.49,109.76,32.3,24.35,29.22,21.9,43.08,12.54,35.87,32.26,162.56,32.63,20.35,84.84,84.41,23.72
93,2016-03-28,113.44,78.97,25.97,21.37,39.64,63.12,7.18,672.27,23.27,25.14,41.26,157.21,76.89,197.97,862.9,21.26,216.95,56.13,229.52,413.02,176.85,53.62,125.25,44.61,27.17,28.27,24.97,71.96,431.49,40.33,94.02,112.67,31.61,24.67,29.71,21.81,42.83,12.97,36.07,32.44,159.88,31.91,20.42,84.12,84.04,23.82
94,2016-04-04,114.31,81.44,25.42,21.5,40.16,63.85,6.85,672.07,23.15,26.64,39.12,153.24,78.47,202.85,873.3,21.67,212.75,54.18,233.12,414.43,184.21,54.28,126.41,45.38,27.06,28.23,24.91,70.62,433.61,41.0,95.49,111.35,31.37,20.08,29.56,22.33,43.16,12.5,35.32,32.26,162.84,30.82,19.98,86.81,82.16,25.68
95,2016-04-11,114.51,80.28,25.56,21.46,41.08,64.1,7.03,703.03,23.31,24.87,40.83,158.33,80.25,201.48,860.56,21.8,222.35,54.69,233.06,418.58,183.33,52.5,127.72,46.57,26.96,28.61,24.44,72.92,435.55,41.76,95.01,113.65,27.68,22.29,30.23,21.87,42.82,12.47,36.15,32.71,163.98,27.97,20.71,86.03,83.38,24.52
96,2016-04-18,113.09,82.82,26.46,21.59,41.47,63.25,6.96,682.9,24.5,25.2,40.89,161.95,77.57,204.84,870.93,22.52,219.02,54.43,239.46,420.44,177.61,55.15,130.12,45.91,27.73,28.2,24.3,71.47,433.56,40.64,95.52,114.49,27.71,21.97,29.65,22.5,44.09,13.03,35.93,32.76,163.22,26.67,20.61,85.77,85.9,24.55
97,2016-04-25,116.44,82.79,26.13,21.31,41.64,65.55,7.1,665.11,22.63,24.66,39.79,161.59,78.39,197.6,883.57,21.96,216.66,54.96,238.14,421.83,189.91,54.82,126.22,46.51,27.75,28.47,25.56,72.56,437.34,40.32,95.84,112.07,27.87,22.06,30.23,22.38,44.44,13.02,36.32,32.02,166.95,27.31,20.94,85.75,87.6,24.11
98,2016-05-02,116.85,81.62,26.51,21.29,41.27,63.91,7.08,676.18,23.97,23.63,41.11,161.94,80.02,202.14,916.88,21.41,216.31,56.41,234.61,432.5,183.34,54.1,128.56,47.41,28.13,28.77,25.6,72.91,440.36,41.63,96.74,114.78,28.2,21.02,30.74,22.4,43.62,12.93,35.9,33.63,168.17,26.31,20.7,87.86,86.06,24.98
99,2016-05-09,116.93,82.49,26.37,22.34,41.32,65.85,7.05,695.96,23.42,24.72,40.89,160.93,79.19,198.88,892.27,21.56,219.31,54.32,242.76,428.21,181.99,55.64,129.97,46.61,27.07,28.63,24.2,71.72,453.31,41.91,96.3,112.91,28.64,21.47,30.49,22.31,43.01,12.9,36.12,34.5,166.49,27.78,20.25,89.9,87.32,24.92
100,2016-05-16,117.08,82.26,26.49,21.67,41.24,65.68,7.2,710.33,23.72,23.38,40.74,159.28,79.8,203.62,875.97,22.33,222.64,54.96,236.42,432.23,181.46,54.79,127.17,46.23,28.32,29.25,25.08,70.5,451.81,41.65,96.83,118.09,29.03,22.55,30.29,22.2,43.76,12.89,37.25,33.88,168.0,29.48,20.77,87.99,86.22,25.31
101,2016-05-23,115.69,83.83,26.97,21.73,41.54,65.05,7.36,673.28,23.73,26.22,40.59,164.31,80.61,204.65,885.63,22.63,221.54,57.03,243.4,440.88,185.48,54.91,129.59,47.16,29.02,29.9,26.02,73.45,454.15,41.52,98.45,114.16,30.32,23.61,31.33,22.54,44.18,13.08,36.19,33.65,163.08,28.85,20.92,89.65,86.73,25.41
102,2016-05-30,117.94,85.44,26.54,21.47,40.93,67.56,7.2,673.18,23.73,26.81,40.86,161.9,80.03,208.11,889.84,22.66,221.97,57.02,240.96,433.07,186.67,55.9,130.56,46.67,28.0,28.94,25.31,73.49,453.4,42.64,96.32,117.43,31.06,22.92,30.22,22.75,44.84,13.39,36.41,33.89,168.09,30.3,21.31,89.27,88.6,24.37
103,2016-06-06,118.69,83.64,26.91,22.06,40.97,65.26,7.33,717.2,23.81,28.08,42.69,169.9,80.89,207.7,877.93,22.7,223.97,56.19,243.74,438.4,188.24,55.04,131.08,46.93,29.07,28.71,25.43,74.37,447.44,42.59,96.53,117.77,31.42,24.31,31.03,22.24,44.11,13.21,37.1,33.89,172.38,31.26,20.55,88.29,89.74,24.63
104,2016-06-13,118.54,85.81,26.83,21.96,41.67,67.5,7.16,704.33,24.23,29.48,41.71,166.89,83.15,210.4,900.82,23.14,222.88,57.46,247.9,444.54,188.16,56.91,133.52,46.45,28.37,28.72,25.63,73.9,456.16,42.06,96.56,117.59,31.25,26.45,31.32,23.04,44.49,13.63,36.88,34.31,169.83,33.61,21.3,91.24,89.77,24.8
105,2016-06-20,120.23,85.07,26.98,23.01,41.78,67.93,7.24,693.89,23.76,29.92,42.38,164.99,81.43,211.77,918.72,22.7,224.85,57.34,249.28,432.9,191.59,55.65,133.63,48.4,28.08,29.64,25.43,74.04,464.51,42.76,98.99,116.7,33.31,24.26,31.51,23.51,45.53,13.14,37.0,34.43,169.96,33.24,21.56,89.49,87.39,24.95
106,2016-06-27,121.79,85.22,27.16,22.92,41.81,66.79,7.42,712.36,24.63,30.7,41.66,165.74,81.55,216.8,898.58,23.28,220.18,58.56,253.25,432.51,189.87,55.95,133.66,47.71,28.64,29.58,25.33,77.04,454.31,42.16,96.6,118.13,34.69,26.36,31.75,23.52,46.03,13.37,37.73,34.22,178.05,32.73,21.3,91.33,89.05,25.52
107,2016-07-04,124.85,86.44,27.5,22.5,42.71,68.98,7.56,680.95,24.37,30.67,41.88,167.77,83.03,211.29,931.91,22.56,231.36,57.68,249.93,451.27,186.73,56.35,136.08,48.33,29.32,30.09,26.51,73.64,467.63,43.56,100.34,115.64,35.84,28.96,32.09,23.31,45.26,13.37,37.01,35.6,177.8,36.88,21.63,91.35,89.91,25.33
108,2016-07-11,122.58,85.79,27.36,23.53,43.05,67.84,7.48,712.63,24.26,31.5,43.17,168.19,84.92,210.69,929.38,22.9,230.14,58.72,252.43,454.31,192.34,57.88,139.01,47.69,28.71,30.19,25.51,76.36,479.68,43.21,99.99,119.91,35.81,29.29,31.98,23.59,45.02,13.3,37.46,34.24,175.37,38.34,21.51,93.3,89.69,26.38
109,2016-07-18,123.26,86.75,28.14,23.23,42.71,68.63,7.44,718.91,24.59,33.64,41.93,172.14,84.32,214.91,918.44,22.71,227.54,60.27,251.19,465.87,187.35,57.11,139.51,48.92,28.94,29.6,26.42,75.26,474.78,43.31,102.18,120.67,36.88,29.25,31.99,23.51,48.15,13.53,39.3,35.45,177.75,38.31,21.57,91.34,90.88,26.43
110,2016-07-25,123.22,86.38,27.43,22.91,43.72,68.9,7.5,727.91,25.25,34.1,42.65,170.59,84.4,213.07,929.69,23.3,237.27,58.86,254.32,456.25,195.31,56.81,133.91,48.26,29.53,29.63,26.77,75.81,478.97,43.73,100.03,120.86,36.62,28.66,32.11,23.84,46.75,13.69,38.57,35.2,170.4,37.33,21.75,93.51,91.78,25.87
111,2016-08-01,120.62,90.37,27.8,22.31,42.27,68.82,7.41,709.05,24.77,32.64,43.07,169.02,85.3,220.09,954.81,23.46,232.07,58.63,256.18,462.01,192.54,57.6,138.83,48.87,29.41,30.63,25.96,76.1,474.16,43.94,101.05,116.55,37.52,28.27,32.15,24.36,46.25,13.76,38.03,36.29,174.5,36.71,21.74,92.37,92.36,26.65
112,2016-08-08,124.18,88.45,27.79,23.9,42.98,69.91,7.62,722.93,25.15,32.63,43.26,175.8,83.68,216.19,947.34,23.59,229.05,59.36,255.37,457.44,196.2,58.24,138.02,49.73,29.74,30.66,26.24,75.81,480.32,44.59,103.24,119.63,36.52,28.25,32.85,24.27,47.12,14.11,38.79,35.66,175.85,38.2,22.24,93.1,93.49,26.58
113,2016-08-15,124.69,87.88,28.6,22.8,42.78,70.12,7.67,713.49,24.87,31.32,43.21,171.88,86.38,216.17,941.21,23.63,235.91,58.65,250.65,461.81,199.8,57.56,139.06,49.79,29.69,30.51,27.12,77.5,472.36,44.54,103.88,120.82,36.28,29.54,32.36,24.2,46.62,13.84,38.97,35.43,176.91,37.09,21.86,89.58,91.35,25.97
114,2016-08-22,129.0,89.17,28.18,22.78,42.17,68.03,7.55,727.53,25.42,32.42,43.65,173.97,86.5,217.07,940.58,23.36,234.87,61.0,258.31,471.28,194.32,57.74,138.49,49.32,29.85,30.06,26.91,78.55,482.5,44.22,101.2,122.77,35.26,27.03,33.07,23.95,47.36,14.0,39.28,35.57,176.73,35.81,21.85,96.82,90.34,25.49
115,2016-08-29,124.83,88.98,28.55,23.66,43.32,70.91,7.57,715.8,25.45,31.12,43.91,171.0,85.85,220.8,946.43,23.64,235.21,59.33,259.02,449.29,199.99,60.32,139.72,48.16,29.55,31.01,26.51,77.68,482.97,44.84,102.59,123.05,35.45,26.79,32.8,24.39,47.0,13.83,38.72,35.77,172.13,36.86,22.71,95.14,92.6,26.17
116,2016-09-05,125.83,89.0,27.62,24.14,43.35,68.38,7.65,721.49,25.88,31.24,43.99,173.51,87.54,218.9,940.64,23.24,232.73,59.04,256.1,465.37,196.34,58.19,140.04,51.56,29.86,31.39,27.23,77.37,481.94,44.7,102.88,122.57,33.93,25.11,32.63,23.68,47.02,14.14,39.37,35.25,179.41,32.32,22.49,93.69,94.59,26.05
117,2016-09-12,125.39,90.07,28.31,23.83,44.36,70.87,7.59,715.06,25.25,27.74,43.02,173.5,85.36,217.95,921.94,24.19,235.74,58.64,254.48,476.29,202.28,58.67,138.97,50.7,29.43,30.99,27.24,76.23,488.65,44.26,103.06,123.98,34.47,25.41,33.15,24.15,46.92,14.29,37.72,35.46,179.95,34.02,21.63,93.36,91.84,26.38
118,2016-09-19,123.56,90.29,28.56,23.57,43.83,71.01,7.63,732.52,25.54,27.13,43.44,168.29,87.87,224.37,973.8,23.65,233.36,60.21,263.68,465.33,196.78,58.68,138.55,49.97,30.32,30.53,26.88,77.85,478.66,44.46,102.17,121.52,33.07,23.24,32.62,24.43,46.09,13.95,38.26,34.99,182.54,30.58,21.97,94.19,93.3,26.35
119,2016-09-26,127.4,88.82,28.24,23.58,42.8,69.04,7.85,733.9,25.36,26.68,44.3,177.51,86.86,217.75,950.51,23.58,235.92,60.0,260.58,473.64,195.51,58.65,139.39,48.9,29.56,30.89,26.4,79.58,481.07,44.45,104.31,124.09,31.76,22.64,33.2,24.48,48.23,13.67,38.91,35.39,176.79,27.09,22.27,95.69,93.32,26.33
120,2016-10-03,126.68,88.74,28.6,23.64,44.5,69.63,7.61,720.71,25.74,26.17,44.09,175.62,86.32,220.18,953.1,24.24,227.5,58.86,258.21,459.64,199.41,59.42,140.58,49.29,30.24,30.28,26.56,76.76,482.87,44.81,99.74,123.87,30.35,20.47,33.01,24.45,46.36,13.75,38.95,35.86,176.47,27.8,22.27,92.48,92.67,26.48
121,2016-10-10,126.61,89.02,27.95,23.59,44.04,68.96,7.59,722.0,25.07,24.73,42.71,171.36,86.62,221.77,946.6,23.27,231.97,59.65,255.12,462.83,196.23,59.63,141.15,48.9,29.67,31.25,26.78,76.65,476.41,44.26,101.67,123.65,30.71,19.83,32.66,24.32,46.03,13.88,38.2,35.92,171.93,28.13,21.68,94.54,92.37,25.84
122,2016-10-17,123.59,86.57,28.64,23.4,43.57,69.68,7.55,703.75,25.51,23.66,43.65,169.36,86.45,215.49,936.93,23.26,238.59,57.86,255.89,462.59,194.86,58.62,141.47,50.06,29.79,30.79,26.53,76.29,483.37,44.18,102.7,122.67,30.55,20.69,33.09,24.14,46.68,13.9,38.76,34.76,177.35,25.91,22.45,96.76,91.12,26.37
123,2016-10-24,127.19,87.33,28.92,23.29,42.97,69.48,7.67,713.85,25.17,24.93,42.19,172.4,87.77,220.91,942.05,23.22,229.74,59.1,262.44,448.14,195.42,57.83,138.94,49.22,29.46,29.95,26.89,76.17,471.83,45.48,102.48,125.61,29.89,19.31,33.05,24.33,46.11,13.91,38.17,35.57,179.85,24.25,22.29,93.06,89.33,26.02
124,2016-10-31,122.24,90.47,27.82,23.18,42.39,70.32,7.56,713.84,25.16,24.79,43.27,171.31,85.14,216.48,922.51,23.49,229.57,59.16,258.2,453.5,196.09,59.6,140.06,48.33,29.19,30.48,25.85,73.52,487.08,44.78,103.46,123.32,31.17,22.15,33.24,23.82,46.56,13.84,38.24,35.82,175.79,25.7,22.12,94.35,90.54,26.18
125,2016-11-07,125.21,90.58,27.71,22.89,42.61,70.64,7.5,739.9,25.15,23.61,44.23,171.41,85.3,221.12,968.12,23.58,229.29,59.99,255.42,452.77,199.21,58.44,140.97,48.38,28.82,30.71,25.77,76.66,480.64,43.67,102.92,120.81,30.49,18.89,33.09,23.8,46.9,13.72,38.82,35.37,181.89,25.18,22.32,96.72,91.18,26.37
126,2016-11-14,127.51,88.16,28.35,22.97,43.34,70.53,7.67,696.03,25.14,26.07,42.42,170.43,87.05,215.89,922.04,23.6,225.88,57.81,258.26,463.09,189.99,59.66,141.01,49.31,29.0,30.28,26.31,75.04,476.54,44.32,100.48,122.4,31.4,20.38,32.81,24.02,46.94,13.56,38.61,35.03,175.59,27.32,21.97,94.55,92.71,25.52
127,2016-11-21,121.82,88.85,28.3,22.45,43.66,68.59,7.66,720.62,24.95,26.6,42.34,170.55,85.07,219.83,921.68,24.11,221.67,57.19,253.29,462.0,194.5,56.51,138.53,49.45,29.2,30.19,25.94,73.92,473.8,43.92,102.35,122.86,31.46,21.7,32.05,23.98,46.67,13.7,37.4,35.02,175.96,28.51,21.88,93.66,90.99,25.77
128,2016-11-28,122.1,88.27,27.38,22.86,43.27,68.7,7.43,711.94,24.98,26.56,43.13,172.13,86.45,220.41,925.98,22.43,227.24,57.28,260.1,457.19,195.4,58.17,137.87,49.19,29.31,29.68,25.77,76.16,476.2,43.94,99.11,120.45,32.81,22.18,33.45,23.29,45.78,13.92,37.21,34.83,171.71,27.49,22.13,93.84,90.2,25.74
129,2016-12-05,122.77,91.18,27.32,22.5,41.86,67.16,7.27,700.45,25.34,27.49,41.61,169.35,87.07,219.2,944.22,23.28,227.44,56.7,258.88,458.68,193.57,59.29,138.2,48.43,29.52,30.32,25.21,73.86,480.4,43.64,101.03,122.69,32.57,22.48,31.74,23.92,45.83,13.72,37.39,34.66,175.02,29.13,21.9,92.43,89.45,25.5
130,2016-12-12,121.32,88.63,27.26,22.37,41.29,67.73,7.54,712.79,25.07,28.94,41.98,164.81,84.55,216.99,925.26,22.8,225.8,58.62,252.21,451.13,195.79,57.4,135.47,47.5,28.84,29.69,25.77,74.33,478.48,44.1,101.86,121.24,33.91,23.57,32.62,23.94,45.88,13.58,37.43,34.91,168.92,32.14,21.21,94.2,91.0,25.9
131,2016-12-19,119.13,86.9,26.74,22.69,41.87,69.09,7.34,693.96,24.95,28.74,42.54,169.85,85.48,215.13,906.58,22.69,224.47,58.57,250.92,457.83,191.43,57.31,136.74,45.18,28.56,28.94,25.62,75.96,470.21,43.46,100.61,116.66,35.66,24.51,32.31,23.6,44.32,13.63,36.92,35.81,174.67,31.6,21.57,91.82,91.54,25.24
132,2016-12-26,121.39,85.66,26.8,22.98,40.53,69.46,7.46,690.45,24.44,30.49,41.65,169.82,83.25,213.65,934.26,22.58,224.08,57.35,243.71,449.07,190.44,57.52,137.99,47.45,28.23,29.57,25.77,72.53,468.32,43.07,98.64,120.39,36.66,26.01,31.54,24.29,45.63,13.32,37.68,34.21,174.09,32.58,21.08,89.62,90.88,25.2
133,2017-01-02,119.08,84.64,26.66,22.75,41.63,66.7,7.16,682.04,24.23,29.45,41.73,172.75,85.08,218.6,924.75,22.4,226.35,57.86,246.7,447.88,191.8,56.71,137.44,47.03,28.89,30.02,25.43,72.09,475.89,43.57,97.63,118.96,37.69,28.68,31.88,23.27,44.16,13.25,37.14,34.29,174.98,33.56,21.36,91.25,90.03,25.06
134,2017-01-09,121.23,86.47,26.65,21.89,41.17,67.08,7.42,692.49,24.75,32.78,42.16,161.96,84.26,212.29,919.51,23.16,221.41,56.78,246.49,444.52,189.86,56.73,135.5,46.93,29.15,29.34,25.24,73.74,467.05,42.96,95.57,120.11,38.92,27.76,31.81,23.3,46.23,13.16,37.01,34.29,168.69,36.18,21.26,90.27,87.25,25.6
135,2017-01-16,118.55,85.13,26.84,22.0,40.82,67.41,7.19,687.86,24.66,31.14,41.83,164.62,84.36,210.94,919.07,22.8,219.27,56.4,250.68,448.98,187.98,56.57,136.04,46.68,29.02,30.13,25.64,74.41,470.68,42.77,97.81,120.44,37.3,29.12,32.31,23.23,44.52,13.23,35.94,33.88,170.96,36.72,20.61,90.86,88.35,24.97
136,2017-01-23,122.32,84.15,26.86,22.54,39.99,67.52,7.36,666.11,24.8,34.05,41.62,158.55,82.97,215.11,937.48,22.46,219.44,56.03,248.64,441.13,189.83,56.22,133.95,45.54,28.72,29.49,24.58,71.22,470.32,42.77,95.49,119.03,37.97,28.77,31.4,23.27,44.53,13.14,37.15,34.64,171.43,35.86,20.93,90.66,90.89,25.23
137,2017-01-30,118.15,84.86,27.29,21.87,41.15,66.41,7.27,655.84,24.07,32.45,41.16,164.35,81.73,210.88,932.85,22.83,221.58,55.9,244.87,448.59,186.28,57.5,136.38,46.71,28.62,29.38,25.21,73.14,470.82,42.43,95.66,121.09,39.04,29.25,31.52,23.14,44.03,13.41,34.83,32.88,170.7,36.6,20.98,92.25,89.7,25.7
138,2017-02-06,118.67,84.21,26.25,22.06,40.4,67.41,7.16,665.58,24.15,32.3,41.48,161.32,83.95,210.23,895.64,21.83,223.72,54.77,247.97,435.0,186.0,56.83,134.83,46.63,28.99,29.11,24.28,73.13,473.54,42.41,94.86,118.07,38.03,25.72,30.61,22.77,44.02,13.07,36.74,33.69,167.2,37.96,20.71,91.48,86.33,24.93
139,2017-02-13,120.37,87.29,26.96,22.27,39.93,66.52,7.21,657.02,23.67,31.45,41.12,166.87,81.1,208.75,922.94,21.84,216.46,56.12,250.28,434.57,185.91,56.61,134.36,46.55,28.4,29.08,24.54,70.12,461.18,42.0,95.7,119.19,41.08,27.31,32.27,23.01,45.79,12.99,36.71,34.28,163.26,34.39,20.9,90.84,87.99,25.3
140,2017-02-20,116.84,86.29,26.47,21.76,38.82,66.88,7.31,663.35,24.05,31.05,41.41,160.21,82.94,211.26,906.73,21.53,218.47,55.8,250.21,444.96,190.65,56.98,134.15,46.65,28.49,28.96,24.35,73.08,457.45,41.86,96.16,119.4,38.02,27.96,31.08,23.13,44.88,13.48,35.89,33.7,169.61,32.29,21.02,90.44,88.42,25.47
141,2017-02-27,119.19,85.24,26.51,22.08,40.5,67.37,7.25,676.22,24.5,31.66,40.81,157.88,84.3,212.37,907.75,21.99,218.98,56.39,242.29,440.06,178.48,56.16,134.67,46.35,28.1,28.92,25.08,73.09,465.32,41.69,96.49,117.99,36.72,25.54,31.66,23.54,43.26,13.04,36.78,33.42,168.29,33.86,20.74,89.12,87.02,25.22
